Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,306603782.184042,319432463.676231,342890213.715961,372361848.028396,387568058.727653,388216472.020933,406378750.24358,446015372.317616,481653390.556256,542916938.925437,587779116.444469,619647321.723094,655418839.251241,672099916.984861,685786802.281716,691603562.952365,728881697.578456,775002576.770672,742632124.397603,792682270.584927,831411470.046477,868057376.874543,903835269.252483,949404558.357049,919078280.221003,945954439.974664,1001894699.00039,1054859062.23616,1119028548.62809,1268714285.47719,1389228751.06647,1390216645.80882,1222889960.98576,1135539037.03704,1115173875.65459,1159998756.16281,1155982145.44651,1211723376.69427,1256122384.12019
Australia,AUS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,198339485481.519,203250230380.739,205948530112.771,218742968008.825,234002816671.944,247996231204.88,253861820860.465,269847640641.964,283590498771.212,303582811815.541,325340262601.242,338383650770.192,351617365438.097,360754643518.771,375534259074.82,380559842325.731,390415060870.821,404498418728.158,408126668189.266,424667406159.704,437625669396.631,452321766151.45,467344710522.62,456920118611.456,478062421303.485,503158214942.179,523795389499.848,537280463636.839,568276378743.165,590318114679.205,611151237193.606,608829575132.503,611258847956.728,636076780968.255,661761221542.539,687431206939.687,714578832666.281,742785701650.777,775752339239.962,814595006334.886,846108898621.915,862433612000.711,895694974590.39,923199964418.399,961506986893.898,992339076659.351,1021939264106.67,1060340245233.55,1099643871866.03,1119653852349.08,1142250506474.06,1169431057881.91,1211913217353.49,1241484494446.53,1272519759757.29,1301251030445.66
Austria,AUT,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,92237791417.649,97345901228.6732,99924277887.9965,104059411885.954,110432378367.145,114275618300.425,120724033067.604,124355469685.655,129917035252.096,138070455810.613,145727882516.556,153181818145.695,162691132450.331,170647437218.543,177374594834.437,176729420132.45,184820880132.45,194209745430.464,193800635761.589,204181954172.185,207717334834.437,207417610198.676,211589305960.265,217880042251.656,217991760794.702,223438674039.735,228580875496.689,231683101986.755,239319099602.649,248621611920.53,259425816026.49,268354285960.265,273972349271.523,275415661589.404,282031472847.682,289556026490.066,296500490066.225,303038384105.96,313826450331.126,325092781456.954,336043231788.08,340581549668.874,346221086092.715,348839059602.649,358277748344.371,365947337748.344,378209615894.04,391906516556.291,397970344370.861,382851152317.881,390235099337.748,401192900662.252,404231192052.98,405529788079.47,406963218543.046,410471668874.172
Azerbaijan,AZE,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22325675014.6271,22169395298.4412,17159111873.5004,13195357108.1839,10595871755.3639,9345558792.93588,9467051075.91296,10016140087.9139,11017754124.5694,11833067993.8748,13146538452.8659,14448045759.6996,15979538494.8706,17769246844.1912,19581710093.0734,24751281715.9126,33290473786.6938,41629404406.7868,46113899018.7892,50453518392.5171,52902703376.1056,52937578302.4383,54102205124.8452,57238335961.2495,58383102680.4744,59025316809.9597
Burundi,BDI,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,596608253.670717,514597677.373498,561236477.601625,584445892.538846,621108404.900661,645749176.597434,675537540.239403,768907087.027305,766616638.352635,755427553.105214,916527545.705428,941702987.478465,881396658.482324,942116521.310875,935268845.712752,941796276.24958,1016599961.55636,1133198416.79516,1122539824.57715,1141229606.95514,1152539828.31177,1292726423.68618,1279106260.4105,1326629240.55262,1328692732.80246,1485254991.58896,1533528459.0815,1617920004.19458,1699317953.86504,1722250287.54588,1782525984.41627,1871595892.56201,1890498980.49241,1772531844.12476,1704643874.55341,1569636079.67758,1444065193.28183,1421104556.74908,1488607023.0819,1473572092.20535,1460945582.56049,1490979805.70997,1557276512.30296,1538219684.21923,1612571959.3767,1627085107.05727,1714698065.64965,1796760633.53677,1887463244.56885,1952928499.631,2026864469.36388,2111823040.97987,2196704928.33329,2297622743.75537,2404713060.02967,2343732767.75106
Belgium,BEL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,120563778166.529,126565953104.628,133162575021.964,138957256705.687,148624074968.939,153916072718.723,158773502333.735,164915094716.746,171831847560.27,183223955038.072,194139146357.616,201877197615.894,212567815364.238,226133260000,236456827019.868,231808223841.06,244911753774.835,246445280397.351,253449000397.351,259382426622.517,270909521854.305,270152915894.04,271760290463.576,272607755231.788,279331305562.914,283945280132.451,289120927152.318,295789962251.656,309760740132.451,320506856953.643,330562446887.417,336621902119.205,341774421456.954,338486985298.013,349409863708.609,357742440662.252,363441839602.649,376927528874.172,384373538013.245,398068921059.603,412534018013.245,415881583046.358,423286155629.139,426564659867.55,442069435629.139,451327348874.172,462608115496.689,478325096291.391,481898678410.596,470887876688.742,483577483443.709,492266586887.417,493047601589.404,493062669403.973,499450164900.662,506312296423.841
Benin,BEN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1265426252.93825,1305176840.577,1260456133.13346,1320076060.78909,1407871139.67873,1482401906.78064,1535410564.0338,1551968411.17054,1611600246.43119,1657974010.90519,1692754286.49195,1667416432.2096,1774570740.71151,1840339265.95172,1901793938.91011,1808694555.94197,1824689860.7626,1915626267.37066,1939668871.85907,2066440729.86151,2206581860.77053,2426230120.17347,2480457972.93236,2372612057.41465,2560756386.86531,2753589661.08633,2813373991.76226,2771173298.92646,2865538547.17045,2783751478.05511,3033624751.01017,3161819648.11008,3255337130.08958,3445324207.13338,3514933552.7604,3727418268.25946,3888602421.3349,4111601652.28714,4274462692.84218,4502780953.5408,4766643561.74839,5020725247.66353,5253911326.863,5434858389.27325,5675602453.88052,5772744795.73959,6000595826.41589,6359822426.97484,6671033590.82541,6825749997.99683,6970240895.49888,7176751732.08258,7509969971.09116,8026580503.0831,8551638195.2367,8999782271.18152
Burkina Faso,BFA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1120811786.71408,1166136608.12129,1237606774.3496,1221913717.82207,1249807799.06317,1296857380.82891,1303829455.77746,1418870435.39902,1462440738.93933,1492070973.4818,1493816989.12931,1514929700.39977,1549947281.35529,1556911619.25307,1685923955.97753,1736474411.41912,1884680678.60643,1891660660.55673,1978825073.48837,2051341522.81294,2067688230.00799,2155674637.4471,2361804484.82691,2369975967.92579,2327821283.9124,2526090319.10269,2727049966.82507,2720604944.37292,2878280133.12906,2940170848.93659,2922443721.52739,3187508912.94656,3194926589.244,3305515296.89289,3348983063.42876,3540423456.06994,3930392031.64154,4178668400.71732,4484033771.84056,4816039657.21809,4903703228.63079,5228004716.13786,5455579987.43138,5881248337.04976,6144638535.20599,6676878621.26332,7094394431.21954,7495582799.41617,8042347948.05677,8280563450.07509,8979966766.07232,9565619495.08764,10182857809.2713,10554461357.0479,10981684424.9942,11418705176.3523
Bangladesh,BGD,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,17862545310.7226,18944687033.1706,19977746684.2347,19886669277.8428,22064814112.6956,22419232005.0757,22994691542.7769,22563342420.6917,24704480424.0584,25006087027.2168,26411392182.3557,24964184430.4711,21475757025.4792,22189972024.4145,24318424444.0714,23324235189.0411,24644704390.5094,25303471152.2294,27093397642.2551,28394323597.912,28626913390.8931,30697768187.1802,31352959198.5596,32569782092.7714,34134209697.98,35274979988.1662,36747139850.6845,38133389635.1624,39054790276.5184,40162611478.0515,42420657179.7908,43899113723.2774,46288404442.7889,48469311189.3945,50354828679.5772,52933639390.898,55327785139.4964,57811945426.5395,60804885377.3372,63644568604.0114,67013463192.5145,70415929567.4442,73115059421.307,76580396941.519,80592852042.2251,85860356477.7026,91588846353.8372,98053769823.2911,103950517391.466,109194950718.059,115279077465.226,122731159566.449,130734992458.51,138596866823.802,146997351891.58,156629549345.307
Bulgaria,BGR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,28189215378.3674,29570532557.1951,30260876066.062,31298916677.9478,32361966765.9402,33230380939.4883,34628583118.9928,36725175443.3464,40744632800.8664,39404182482.74,35811554555.2999,32787141532.4218,30402733450.6566,29952707662.1091,30497251252.1998,31369530391.2278,31871442872.614,31520857046.1622,32624086977.122,30793875727.6296,32336941248.1386,33710622715.5814,35739369162.0414,37554043590.0907,40015923920.4007,42911553404.6297,45809428049.2757,49325462298.6327,52110873832.4083,49911937186.95,49939168133.207,50730191552.7278,50850459591.1737,51502304047.6513,52300589760.3899,53852419114.6609
Bahrain,BHR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,7624221103.47913,7218864341.89657,6673391235.87742,7098911806.39139,7454116226.23047,7099429359.04756,7183415176.43469,7930419191.02771,8485547872.1663,8516435872.13312,8894395055.67055,9893235511.91183,10555092806.0632,11913533954.1921,11883749942.4451,12350780310.4502,12858398136.4749,13256108363.4132,13891076323.6746,14488392461.1778,15256276507.3657,15636315475.986,16201435104.2376,17177401647.9676,18376546950.2211,19620444333.8462,20889606053.0421,22621864899.6304,24034629395.827,24645054296.3673,25713271276.5957,26253297313.7808,27195450594.6122,28667523540.1032,29952096679.5289,30828664921.8132
"Bahamas, The",BHS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1521892341.29911,1684234080.11276,1860269752.7397,2056045568.4611,2271962575.53338,2508828226.01874,2736427334.17684,2999072745.59243,3251647561.33258,3543699573.52162,3343492967.60015,3397875172.96432,3279040063.56921,3527183677.14395,2936231243.98055,2501577224.10698,2631288630.38705,2872181242.05004,3279442759.68697,4136666002.23051,4405354121.2219,3998898304.7945,4266780413.60235,4420258718.17184,5046660150.7105,5290372459.1285,5385440464.25151,5546169976.71543,5674270289.55045,6055997165.63318,5959328366.19856,5710122088.03479,5491676643.70137,5508580405.44464,5682040985.73592,5930843434.87724,6181334426.94714,6308808346.48593,6606361640.80548,7078328700.2168,7372025998.97394,7565587912.96966,7770209036.46035,7671935735.02608,7739670045.96444,8002454495.68156,8203865379.27694,8322536114.50224,8129125597.76819,7789713535.38155,7909580000,7958058021.13322,8134513074.47411,8136305123.69382,8219522121.94249,8319840041.45634
Bosnia and Herzegovina,BIH,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758315073.13109,3332044623.51029,6296153710.7259,8461374187.43229,9781348252.97942,10720357665.2221,11309977383.532,11807616332.6111,12433420029.7942,12930756839.1116,13719532976.7064,14921121281.1405,15723650301.0536,16624420020.5733,17535688926.8898,17032435501.0692,17163117551.4626,17319001218.8516,17157382446.0436,17568163106.0508,17758228834.331,18318958459.1561
Belarus,BLR,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30520269281.4915,30154026050.1138,27259239549.3028,25187537343.5558,22240595474.3598,19927573545.0263,20485545604.2871,22820897803.1758,24737853218.6426,25578940228.0764,27062518761.3049,28341305585.7787,29771200213.8859,31868043206.6573,35516852229.6868,38855436339.2774,42740979973.2051,46416704250.96,51151208084.6036,51253510500.7953,55220932613.958,58282221784.1466,59291315056.9118,59927867090.4525,60960475780.0875,58590516276.18
Belize,BLZ,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,98654055.9256052,103480485.8293,108543426.075395,113923309.56173,119619338.229785,125517218.698862,131505450.793079,137966475.555379,148130776.864823,155694889.51235,163180222.383256,169641247.145557,186975705.215245,196982446.971447,223693237.571833,231730142.887443,231651306.106643,246700751.625077,266241442.469398,286254868.977623,329669765.426374,333924614.41822,332979086.086234,325966488.879231,332348733.86491,335894393.854632,351259072.487908,390655516.278853,426742696.414118,482606906.723566,533901148.934686,589944979.414996,660949328.893097,702434234.823005,703543650.1722,708074285.386398,718190703.184726,743651848.153366,771471541.065329,839209608.039393,948632152.577192,996212344.451167,1047204065.47956,1144900337.1745,1198116304.29838,1229003848.16415,1285311893.01829,1299522123.00025,1341485008.97861,1352206184.12149,1397113450,1426483827.61776,1479846067.46726,1499279704.46173,1560479049.97629,1590416619.18404
Bermuda,BMU,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1236024650.86844,1293870604.52905,1351706620.55154,1366169881.39142,1517951355.21397,1590205839.72223,1818617223.97319,2060039383.27642,2103408633.45069,2175690717.0744,2313026675.95958,2392536967.94565,2435906218.11992,2472047259.93172,2493731885.01891,2587698593.72971,2819001261.32568,2985250053.66029,3028619303.83456,3093673179.09591,3339432263.4166,3418942555.40268,3238237346.34334,3303291221.60469,3319193280.00197,3252693763.06806,3469540013.93931,3599647764.46201,3745657573.382,3762282452.61539,3763005273.45173,3630006239.58401,3627837777.07534,3736983723.34719,3759391169.27049,3924772345.29896,4026835109.98094,4212069525.04015,4376340236.51672,4524376453.24803,4945919646.2653,5303135527.75517,5224766301.37623,5402967729.76868,5528385008.41416,5620941625.4668,5932559093.07918,6101393205.83452,6194616021.02816,5867281536.74729,5744414000,5552579615.57093,5284137923.53055,5151445059.9242,,
Bolivia,BOL,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,4818838337.92097,4919069386.41404,5193072636.16593,5526504333.00168,5791475875.63924,6117247421.40646,6514703077.07345,6964795309.05929,6117247421.40646,6306638235.98099,6275431642.47646,6593177851.70962,7118488339.85736,7527029870.88226,7748292041.93555,8314771040.5752,8698461748.91231,9130881078.73599,9318310167.16052,9330735578.50441,9202739037.66105,9228103327.03293,8864632532.69629,8506313289.60134,8489243522.35104,8346930939.40081,8132091172.24542,8332423560.8537,8574855875.85557,8899853935.16864,9312432285.18364,9802873591.5169,9964277908.9969,10389682313.0627,10874596450.5412,11383340205.9752,11879806409.1738,12468356816.9483,13095434713.4455,13151337215.2619,13481147871.4736,13708143321.6724,14048868235.3697,14429780796.4839,15031978201.9893,15696607065.8374,16449574691.7853,17200396431.0132,18257962323.1053,18870882348.149,19649631308.1648,20672216340.1924,21731104039.6498,23207952413.94,24475238843.5128,25444881251.3693
Brazil,BRA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,246657166332.278,272003438586.927,286191299568.551,288694536427.735,298757222102.875,307879737711.249,320657855910.784,336419041436.594,374862595292.634,411358568645.359,447434499036.002,497972614269.227,557992268726.445,635992287408.557,693499475218.518,729624389256.687,801057609603.081,837956870954.348,865037203289.606,923568085520.274,1007714005797.91,963441529965.266,969031856602.443,935989871597.78,985308517799.603,1063599770422.25,1148563258818.22,1189907280327.58,1188685570176.62,1227668024401.12,1189581392415.21,1207567116462.26,1201928826078.29,1258000836939.69,1325109542003.79,1383636070618.79,1414180328404.97,1462192155578.55,1467139573056.1,1474021434605.56,1534641522910.51,1560083085800.67,1607714932888.69,1626048012470.95,1719722699016.51,1774789105960.25,1845079664513.56,1957118136056.33,2056809174052.93,2054214562458.19,2208872214643.02,2295244758549.53,2339209222185.09,2409739667075.82,2412230647720.45,2319423390494.13
Barbados,BRB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,3267321038.25137,3202541438.97997,3048689890.71038,3060836065.57377,3174200364.29873,3206590163.93443,3372587887.0674,3457611111.11111,3579072859.74499,3708632058.2878,3587170309.65392,3445464936.24772,3251126138.43352,3275418488.16029,3340198087.4317,3409026411.65756,3546683060.10929,3712680783.24226,3850337431.69399,3862483606.55738,4036578779.59927,3939409380.69217,3971799180.32787,4056822404.37159,4113504553.73406,4279502276.86703,4522425774.13479,4599351548.26958,4619595173.04189,4433353825.13661,4445500000,4477889799.6357,4490035974.49909,4490035974.49909,4498133424.40801,4542669398.9071
Brunei Darussalam,BRN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,6386198430.65362,6408899029.44211,7700637847.45087,8541293165.92786,9120037093.94928,11177738900.5933,10395665742.2215,8334546648.99608,8664315900.55495,8707764467.3669,8760000342.53098,8629410706.83295,8395081648.71494,8563749725.02984,8657725471.50302,8564726092.62452,8658031956.94584,8930408546.0756,9355369252.29344,9383863209.13383,9679022996.70634,10112518095.5208,10403588521.4489,10250533868.2772,10193283745.0744,10504398736.6605,10803713359.9396,11100171664.2009,11529981105.8758,11864806584.0587,11924642984.9317,11970851800.3672,12497296363.2248,12516614866.4351,12273828272.036,12057252187.3978,12370616061.6062,12794905737.0044,12916246822.0331,12689959273.619,12393014247.5012,12331049176.2637
Bhutan,BTN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,165165439.146861,188136200.88393,194559060.675521,216565078.847304,226271753.354426,235801810.576482,263462722.663821,339066684.688327,355976922.525405,382435357.411604,424030689.295613,422301169.504529,441730787.82885,450505180.615888,472811961.168546,506259233.805762,534433435.297499,563153025.102705,596458068.653373,644079113.976625,688733275.071953,745235395.466464,825183060.874733,888427847.119336,940813179.477384,1007823159.38045,1076852655.51349,1269887377.45454,1330440105.87773,1419010481.1982,1585472534.10547,1710580806.57351,1797336501.23336,1835844373.82886,1936059764.33479,1999064080.96347
Botswana,BWA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,205010637.005039,218015043.363672,232549382.088848,246318735.873766,263147973.148758,278447278.057206,296112026.541958,313655361.052644,346799500.273899,399247392.223353,467599614.440046,588339012.240668,743436595.218268,901812261.710706,981151857.735261,1064022400.2106,1177312873.44877,1318732167.81125,1507743432.8981,1690912984.57371,1893601056.47375,2065253293.19994,2316502340.50753,2621046626.63285,2845025116.2506,3047740873.46281,3296830428.90662,3688557451.20568,4405980750.78689,4981375660.38075,5318755364.48538,5715465855.51819,5882190012.89197,5994899075.81744,6212388979.82812,6649145412.10339,7036777296.55264,7601587676.13919,7656470618.84211,8396640065.8687,8563539732.36582,8584997725.00155,9106066811.90758,9527303882.30796,9785095741.67078,10230967881.8491,11086672844.5933,12004665708.2265,12754011016.812,11778034530.5401,12786662034.8563,13560039807.5122,14164338408.1026,15560983628.0818,16059544331.1042,16018635343.3957
Central African Republic,CAF,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,914772564.92224,960085391.741491,924431275.382666,917893291.830738,936988787.072384,945867401.964511,951968240.016439,996487173.847238,1010479814.40761,1082137045.72318,1107382935.65143,1119897769.24278,1119889001.81685,1141041117.21076,1213373317.35962,1218287526.36353,1284470297.28495,1333360847.02559,1349484159.41683,1316218412.9916,1257270257.48577,1237851624.50264,1333360847.02559,1225005974.40714,1341155590.38714,1393826509.80572,1443697159.82737,1372392478.1742,1395864135.62966,1423464761.00765,1392893827.73937,1385199107.14812,1296212609.11901,1300556811.27217,1364284083.0677,1462512568.64071,1404012046.11518,1478424721.66342,1547910592.80826,1603635419.51441,1563713715.95108,1633530134.61642,1692606556.17558,1601248638.02531,1697243361.38275,1712655792.50157,1774984666.3444,1856768185.03737,1894908553.51862,1927296727.82367,1986014845.63184,2051568026.22204,2111033559.14343,1329698727.92454,1312982972.33268,1385019239.00865
Canada,CAN,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,316336974286.222,326343635486.327,349568791675.111,367682663713.225,392315404495.684,418351593401.891,445899901109.16,458899267123.04,483199552126.43,508615852559.246,525174419530.189,546799304018.638,576577204426.325,616731210929.917,639494683750.729,651152500000,685007887788.779,708697040186.372,736716024461.27,764747501067.754,781286059697.147,808655444282.664,782762096097.846,803102738206.174,850689388856.533,890961729275.87,910222678509.028,947509627548.05,989478628227.529,1012473853523.59,1014036566783.15,992481270238.789,1001244641914.19,1027830048922.54,1074015331294.89,1102774330421.28,1120540554552.51,1168497588526.5,1213855850514.46,1276529788099.4,1342688373422.64,1366464955445.54,1407595773442.05,1432964496408.46,1477185224907.79,1524475568821.59,1564468853329.45,1596739898466.32,1612713061250.24,1565144676082.31,1613406134731.12,1664086754804.89,1693132927878.08,1730687770724.13,1773485821199.77,1792608764608.81
Central Europe and the Baltics,CEB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790792588229.153,713769724214.976,701269921595.622,712335522738.042,741745204896.872,784632196674.788,819568813298.056,846391327270.75,870163073705.871,888078830021.987,923104808565.361,951384593725.904,982255965367.432,1025865295327.51,1083163005456.95,1136363228270.55,1210990630335.64,1289104463548.13,1336368300813.72,1286232428807.55,1311611412790.09,1352415744655.75,1359737397262.39,1377043690219.52,1415218150925.28,1463304745213.88
